"read_count(G)"	"read_count(NW)"	"read_count(S)"
"PdomMRNA05427.1"	397.8	322.4	304.25
"PdomMRNA05428.1"	3092.4	2083	2051.25
"PdomMRNA05429.1"	1121.6	799.4	826
"PdomMRNA05430.1"	79.4	54.2	66
"PdomMRNA05431.1"	578	554.4	668.75
"PdomMRNA05432.1"	3009	1943.4	1693
"PdomMRNA05433.1"	608.4	400	392
"PdomMRNA05435.1"	4384.2	2828.2	2556.5
"PdomMRNA05436.1"	1651.2	1184.6	1148
"PdomMRNA05437.1"	1323.4	988.4	1023.5
"PdomMRNA05438.1"	963.6	655	656.25
"PdomMRNA05439.1"	271.8	118.6	166.25
"PdomMRNA05440.1"	312	123.6	199.75
"PdomMRNA05442.1"	68484.4	41030.6	40130.5
"PdomMRNA05443.1"	71.4	41.8	24
"PdomMRNA05444.1"	26766.2	14142.8	15867
"PdomMRNA05445.1"	5148.6	4770.8	4413.25
"PdomMRNA05446.1"	842.2	557.4	541
"PdomMRNA05447.1"	259.2	176.4	173
"PdomMRNA05448.1"	2097.8	1652.8	1628.75
"PdomMRNA05449.1"	13786.4	7345.2	7700.5
"PdomMRNA05450.1"	3780.2	2619.4	2613
"PdomMRNA05451.1"	1655.4	1056.4	1059.5
"PdomMRNA05452.1"	172.8	47	38
"PdomMRNA05453.1"	3301.4	2415.8	2404
"PdomMRNA05455.1"	3779.6	2573.8	2804.75
"PdomMRNA05457.1"	2319.8	1522.6	1717.25
"PdomMRNA05459.1"	5898.6	3845	3648.75
"PdomMRNA05460.1"	1345.8	771	775.75
"PdomMRNA05461.1"	7062.4	4532.4	4729.5
"PdomMRNA05462.1"	9043.2	4984.2	5637.5
"PdomMRNA05463.1"	2284	1563.6	1432.75
"PdomMRNA05464.1"	147.8	104.2	116.75
"PdomMRNA05465.1"	922.8	891	859
"PdomMRNA05466.1"	3793	2280.6	2575.5
"PdomMRNA05468.1"	8198	5341.4	5445.75
"PdomMRNA05470.1"	207	150	140.75
"PdomMRNA05471.1"	1070.4	819	735.5
"PdomMRNA05472.1"	1115.6	554.6	507
"PdomMRNA05473.1"	442.4	289.2	329.5
"PdomMRNA05474.1"	861.8	471.6	464
"PdomMRNA05475.1"	876.2	518.2	547.75
"PdomMRNA05477.1"	129.2	103	71.5
"PdomMRNA05478.1"	2207	1319.2	1446.5
"PdomMRNA05479.1"	2482.8	973.4	1168.5
"PdomMRNA05480.1"	582.2	618.8	381.5
"PdomMRNA05481.1"	2665.2	1536	1761.75
"PdomMRNA05482.1"	20878	16479.6	13659
"PdomMRNA05483.1"	2740.6	1662.6	1962
"PdomMRNA05485.1"	246.8	139.2	226.75
"PdomMRNA05486.1"	345.8	223.4	251.25
"PdomMRNA05487.1"	459	262	271
"PdomMRNA05488.1"	91.8	129	80
"PdomMRNA05489.1"	410.4	322	267.25
"PdomMRNA05490.1"	399.6	291	287
"PdomMRNA05491.1"	308	233.2	163.25
"PdomMRNA05492.1"	185.2	85.2	91
"PdomMRNA05493.1"	331.8	194	190.75
"PdomMRNA05494.1"	951.6	688.8	691.25
"PdomMRNA05495.1"	9764.4	7915.2	8514
"PdomMRNA05496.1"	610.8	540.8	446
"PdomMRNA05497.1"	1178.4	866.6	880.5
"PdomMRNA05498.1"	66.6	42.6	35.75
"PdomMRNA05499.1"	59.4	27.2	39.75
"PdomMRNA05500.1"	7748.2	5232.6	5025.75
"PdomMRNA05501.1"	442.2	303.4	293.75
"PdomMRNA05502.1"	151.8	109.8	112
"PdomMRNA05503.1"	94.8	57.8	60.75
"PdomMRNA05504.1"	260.6	200.6	202
"PdomMRNA05505.1"	154.2	127.2	85
"PdomMRNA05506.1"	48.4	53.4	37.5
"PdomMRNA05507.1"	54.8	34.4	18
"PdomMRNA05508.1"	166.6	145.4	129.75
"PdomMRNA05509.1"	132.8	79.2	48.75
"PdomMRNA05510.1"	59.6	40.4	39.25
"PdomMRNA05511.1"	268.6	203.6	279
"PdomMRNA05512.1"	129.8	165.8	136
"PdomMRNA05513.1"	121	101.8	97.5
"PdomMRNA05514.1"	176.2	128	111.5
"PdomMRNA05515.1"	123.6	102.2	82
"PdomMRNA05516.1"	137.2	76.6	80
"PdomMRNA05516.2"	60.6	47	50
"PdomMRNA05517.1"	91.2	74.4	72
"PdomMRNA05518.1"	307.8	206.2	197.75
"PdomMRNA05520.1"	1056.2	606.2	664.25
"PdomMRNA05521.1"	36	45.2	26.75
"PdomMRNA05523.1"	60.8	67.8	60
"PdomMRNA05524.1"	166.8	182.8	173.75
"PdomMRNA05525.1"	240.2	183.2	188.25
"PdomMRNA05526.1"	87.8	74.2	72.75
"PdomMRNA05527.1"	119	147.6	114.75
"PdomMRNA05528.1"	51.4	48.2	43.5
"PdomMRNA05529.1"	157.4	80.4	104.25
"PdomMRNA05530.1"	63	67.8	43.5
"PdomMRNA05531.1"	339.2	188.6	150.25
"PdomMRNA05532.1"	196.2	151.4	161
"PdomMRNA05533.1"	339.4	296.4	325.5
"PdomMRNA05534.1"	199	191.4	139.25
"PdomMRNA05535.1"	327	243	272.75
"PdomMRNA05536.1"	93.8	47.8	45
"PdomMRNA05538.1"	94.6	50	54.5
"PdomMRNA05539.1"	66.2	54.8	80.25
"PdomMRNA05540.1"	7137.2	5078.2	4633
"PdomMRNA05541.1"	1231.4	821	980.5
"PdomMRNA05542.1"	3747.4	2154.2	2466.25
"PdomMRNA05543.1"	1370.4	780.2	730.75
"PdomMRNA05544.1"	4103	2226.2	2464
"PdomMRNA05545.1"	203.8	147.8	136.25
"PdomMRNA05546.1"	931	482.8	560.25
"PdomMRNA05547.1"	15547	7551.4	8706.25
"PdomMRNA05549.1"	4044	2861.4	2509.5
"PdomMRNA05550.1"	1672.8	1750	2234
"PdomMRNA05551.1"	206	166.2	141.25
"PdomMRNA05553.1"	81.8	56.8	35
"PdomMRNA05555.1"	362.6	158.4	235.5
"PdomMRNA05557.1"	123.4	114.4	113.5
"PdomMRNA05558.1"	1739.4	1127.6	1119.75
"PdomMRNA05559.1"	1551.2	1047.4	1112
"PdomMRNA05560.1"	2882.2	2062.4	2118.75
"PdomMRNA05561.1"	6570.6	4641.8	4467.25
"PdomMRNA05562.1"	124.2	55.8	64
"PdomMRNA05563.1"	1379.4	1177.2	1077.75
"PdomMRNA05564.1"	2232.2	1153.2	1275
"PdomMRNA05565.1"	1133.8	726.6	899
"PdomMRNA05566.1"	1710.8	1059.8	1114.25
"PdomMRNA05567.1"	2530.6	1517.4	1414.75
"PdomMRNA05568.1"	1295	969.2	1018.5
"PdomMRNA05569.1"	1976.4	1284	1150.25
"PdomMRNA05570.1"	97668.6	61506.2	60534.25
"PdomMRNA05572.1"	887.2	759.8	676
"PdomMRNA05576.1"	126.2	30.8	35.75
"PdomMRNA05577.1"	1057.4	857.4	838.75
"PdomMRNA05578.1"	678	499	446.75
"PdomMRNA05579.1"	605.8	365.2	384.5
"PdomMRNA05580.1"	2382.2	1763.8	1835.5
"PdomMRNA05581.1"	1138.8	759.8	690.5
"PdomMRNA05582.1"	64.8	27.8	20.75
"PdomMRNA05583.1"	496	366	274.5
"PdomMRNA05584.1"	2550	1813.8	1617.5
"PdomMRNA05585.1"	1296.8	902.8	863.75
"PdomMRNA05586.1"	1940.8	1131.4	1190.25
"PdomMRNA05587.1"	5385	4500.4	3648.25
"PdomMRNA05588.1"	5315.8	5555.6	5013.5
"PdomMRNA05589.1"	1373.2	1243.4	1194
"PdomMRNA05590.1"	971.4	635.6	748
"PdomMRNA05591.1"	503.2	405.2	477
"PdomMRNA05592.1"	1242.6	826.2	861.5
"PdomMRNA05593.1"	161.2	80	105.25
"PdomMRNA05595.1"	1098.2	945.4	895
"PdomMRNA05596.1"	1917.4	1537.8	1449.75
"PdomMRNA05598.1"	1450.6	1110.2	886.25
"PdomMRNA05599.1"	1268	852	780.75
"PdomMRNA05600.1"	1290.2	1117.6	1349.5
"PdomMRNA05601.1"	4587	1382.8	6882
"PdomMRNA05602.1"	16533.2	8765.6	10048
"PdomMRNA05603.1"	2330.4	1770.2	1844.25
"PdomMRNA05604.1"	785.8	505.6	553
"PdomMRNA05605.1"	70.6	38.6	112.25
"PdomMRNA05606.1"	4480.4	3175.2	3197
"PdomMRNA05608.1"	709.4	478.2	509.25
"PdomMRNA05610.1"	437	268.2	259.75
"PdomMRNA05611.1"	2616	1703.2	2093.5
"PdomMRNA05612.1"	2854.4	1957.2	1768.75
"PdomMRNA05613.1"	518.2	434.8	414.25
"PdomMRNA05614.1"	98	84.2	99
"PdomMRNA05616.1"	4201.2	2387	2485
"PdomMRNA05617.1"	207.8	165	121.25
"PdomMRNA05618.1"	1501.6	837.6	864
"PdomMRNA05619.1"	1154.2	504.4	951.5
"PdomMRNA05620.1"	429.4	329.4	322
"PdomMRNA05621.1"	3057.4	1884.6	1792.25
"PdomMRNA05623.1"	3729.6	2238.6	2534.25
"PdomMRNA05624.1"	1443	953.4	1035.5
"PdomMRNA05626.1"	626.4	453.6	386
"PdomMRNA05627.1"	1595.2	1169	1481.5
"PdomMRNA05630.1"	2655.8	1907.6	1744.75
"PdomMRNA05631.1"	41	41.2	52.75
"PdomMRNA05632.1"	500.6	368	357.5
"PdomMRNA05633.1"	987.2	586.4	657.25
"PdomMRNA05634.1"	106.2	9.4	42.25
"PdomMRNA05636.1"	7049	4056	4128.75
"PdomMRNA05637.1"	428.2	206.8	227.75
"PdomMRNA05638.1"	7117.4	6593.2	4698.75
"PdomMRNA05639.1"	1389.4	1182.2	1137.75
"PdomMRNA05640.1"	29.4	130.4	44
"PdomMRNA05641.1"	3408	2252.6	2330.5
"PdomMRNA05642.1"	4263.4	2355	2711.75
"PdomMRNA05643.1"	438.2	259	269
"PdomMRNA05644.1"	125.8	64.8	68
"PdomMRNA05645.1"	2834.2	1994.6	2212.5
"PdomMRNA05646.1"	586.6	489	419
"PdomMRNA05648.1"	2589.8	1589	1375.25
"PdomMRNA05649.1"	965.6	911.8	888.75
"PdomMRNA05650.1"	673	404	444.75
"PdomMRNA05651.1"	474.4	316.2	268.5
"PdomMRNA05653.1"	1031.2	742.6	820.5
"PdomMRNA05654.1"	37.2	60	56
"PdomMRNA05655.1"	76	74	34.25
"PdomMRNA05656.1"	10182.8	7166.4	8636.25
"PdomMRNA05658.1"	243.2	220.8	228.25
"PdomMRNA05659.1"	98.6	93	80.5
"PdomMRNA05660.1"	548	372	301
"PdomMRNA05661.1"	1696	1112.6	1172.25
"PdomMRNA05662.1"	1490.2	762.2	874.25
"PdomMRNA05663.1"	573	581.2	508.5
"PdomMRNA05664.1"	3631	2215.2	2464.5
"PdomMRNA05665.1"	11381.8	8947.4	8321.5
"PdomMRNA05666.1"	1440.8	1018.4	1121.25
"PdomMRNA05667.1"	7287.8	3515	3524
"PdomMRNA05668.1"	608.2	465.6	378.25
"PdomMRNA05669.1"	3987	3360	3651.75
"PdomMRNA05670.1"	351	341.2	284.25
"PdomMRNA05676.1"	2218.8	1425.8	1836
"PdomMRNA05677.1"	599.2	435.6	354.75
"PdomMRNA05678.1"	1027.8	933.6	881.5
"PdomMRNA05679.1"	693.6	554.8	537.25
"PdomMRNA05680.1"	6689.4	3278.6	3609.5
"PdomMRNA05681.1"	322.6	188.6	179.75
"PdomMRNA05682.1"	1491.6	1002.6	936.25
"PdomMRNA05683.1"	254.2	186.4	175.5
"PdomMRNA05684.1"	2309.2	1317.2	1562
"PdomMRNA05686.1"	902.6	605	593.25
"PdomMRNA05687.1"	4902.4	2495	3138.5
"PdomMRNA05688.3"	107.2	97.6	107.75
"PdomMRNA05691.1"	870.8	1073.8	902.5
"PdomMRNA05694.1"	67	53.4	70.25
"PdomMRNA05695.1"	52.2	18.6	61.5
"PdomMRNA05696.1"	1734.8	1479.6	1451.5
"PdomMRNA05698.1"	334.2	246.2	249.5
"PdomMRNA05699.1"	3005.4	1995.4	2089.75
"PdomMRNA05700.1"	432.6	305.4	261.5
"PdomMRNA05701.1"	571.8	422	464
"PdomMRNA05702.1"	1429.4	882	924.5
"PdomMRNA05703.1"	37860.4	31651	28130.25
"PdomMRNA05704.1"	6682.4	6835.2	6094.5
"PdomMRNA05705.1"	2650.6	1958.4	1937
"PdomMRNA05706.1"	2506.8	1337.2	1902.75
"PdomMRNA05708.1"	2411.6	1723.8	1737.5
"PdomMRNA05709.1"	145.6	129	97.25
"PdomMRNA05710.1"	99.4	84	96.75
"PdomMRNA05711.1"	164.6	81	51.5
"PdomMRNA05712.1"	4996.8	5077.8	4506
"PdomMRNA05713.1"	455.4	361.2	376.25
"PdomMRNA05714.1"	718.2	1068.4	1078
"PdomMRNA05715.1"	1324.6	1435.2	1224.75
"PdomMRNA05716.1"	357.6	303	280.75
"PdomMRNA05717.1"	711.2	570.6	414.5
"PdomMRNA05718.1"	773	447.4	631.75
"PdomMRNA05719.1"	448.2	253.4	225.5
"PdomMRNA05720.1"	1008.6	706.6	717.25
"PdomMRNA05720.2"	947.6	623.2	622
"PdomMRNA05721.1"	133.8	103.6	107.75
"PdomMRNA05722.1"	9040.4	7224	5726
"PdomMRNA05723.1"	11134.2	6421	7336.5
"PdomMRNA05726.1"	2416.6	1774.4	1405.5
"PdomMRNA05727.1"	762.2	591.6	464.25
"PdomMRNA05728.1"	6887.4	6079	5717.25
"PdomMRNA05729.1"	2079.2	1292	1343
"PdomMRNA05730.1"	1104.2	864.8	757
"PdomMRNA05731.1"	7743	7087	4770.25
"PdomMRNA05732.1"	74.8	9.4	28
"PdomMRNA05733.1"	35.2	50	46.5
"PdomMRNA05734.1"	504	457.2	403.75
"PdomMRNA05735.1"	2580.4	2018.8	1921.25
"PdomMRNA05737.1"	78.2	101.2	78
"PdomMRNA05738.1"	1808.2	1753.4	1448.75
"PdomMRNA05739.1"	2022.2	1291	1418.25
"PdomMRNA05740.1"	67	46	40
"PdomMRNA05741.1"	1625	910.6	981
"PdomMRNA05744.1"	1107	944.4	867.5
"PdomMRNA05745.1"	1007.6	580.6	561.75
"PdomMRNA05746.1"	1892	1812.8	1557.5
"PdomMRNA05747.1"	1253.4	1105.2	1080.75
"PdomMRNA05749.1"	1829.8	1440.4	1798.75
"PdomMRNA05750.1"	5018.2	4961.6	2982.5
"PdomMRNA05751.1"	85.2	69.2	49.25
"PdomMRNA05752.1"	987.2	479.4	569.75
"PdomMRNA05753.1"	2384.4	1836.2	1653.5
"PdomMRNA05756.1"	993.4	707.8	571.25
"PdomMRNA05757.1"	2216.4	1594.4	1827.75
"PdomMRNA05765.1"	2508	1785.8	1892.5
"PdomMRNA05766.1"	1493	977.4	1074
"PdomMRNA05768.1"	2871.6	1667	1882
"PdomMRNA05769.1"	1148.6	1351	5775.75
"PdomMRNA05770.1"	1539	1107	1096.25
"PdomMRNA05771.1"	21527.6	13663.4	15497.5
"PdomMRNA05773.1"	111.8	71	83.5
"PdomMRNA05774.1"	1287.4	709.8	794.5
"PdomMRNA05776.1"	1658.8	1562.6	1416.5
"PdomMRNA05777.1"	85.8	72	55.75
"PdomMRNA05780.1"	3849.2	2879.2	2962
"PdomMRNA05781.1"	256.2	186.2	151.25
"PdomMRNA05782.1"	972.8	583.2	862
"PdomMRNA05785.1"	3497.8	2458.2	2402
"PdomMRNA05786.1"	307	152	259.25
"PdomMRNA05787.1"	100.6	253.2	179.75
"PdomMRNA05788.1"	138.8	325.6	278.5
"PdomMRNA05789.1"	191.8	154.4	264.25
"PdomMRNA05791.1"	110.4	100.4	96.75
"PdomMRNA05792.1"	14965.6	9656.6	12553.5
"PdomMRNA05793.1"	3028.2	2204.8	2089
"PdomMRNA05794.1"	1681.4	1243.4	1335.75
"PdomMRNA05795.1"	2689.8	1857.2	1731
"PdomMRNA05796.1"	1540.2	978.4	1082.5
"PdomMRNA05797.1"	1425.6	950.8	972
"PdomMRNA05798.1"	677	331.2	390.75
"PdomMRNA05799.1"	1659	1292.8	989.5
"PdomMRNA05800.1"	1916.6	1231.4	1289.75
"PdomMRNA05801.1"	1695.2	1353.8	1281.25
"PdomMRNA05802.1"	5890	4722.2	4055.75
"PdomMRNA05803.1"	910.6	693.6	628.5
"PdomMRNA05804.1"	7444.2	5644.6	6893.75
"PdomMRNA05805.1"	4234	2525.8	2300
"PdomMRNA05806.1"	2194.6	1426.4	2011.25
"PdomMRNA05807.1"	446.8	324.2	334.75
"PdomMRNA05808.1"	1754.2	1016.4	1064
"PdomMRNA05809.1"	106.6	63	63.5
"PdomMRNA05810.1"	1251.4	1233.6	1067.25
"PdomMRNA05812.1"	641	678.4	673
"PdomMRNA05813.1"	2145	1477	1904.75
"PdomMRNA05814.1"	678.2	391.6	513.75
"PdomMRNA05815.1"	702	466.8	454.25
"PdomMRNA05816.1"	366.8	292.6	282.25
"PdomMRNA05817.1"	632.4	327.2	309.5
"PdomMRNA05818.1"	637.2	504.8	581.75
"PdomMRNA05821.1"	1286.4	900.8	892.75
"PdomMRNA05822.1"	636.2	389.6	419.75
"PdomMRNA05823.1"	609.6	490.4	477
"PdomMRNA05824.1"	3422.8	675.2	1178
"PdomMRNA05825.1"	1272.8	822.4	715.25
"PdomMRNA05826.1"	4082.4	2563	2743
"PdomMRNA05827.1"	1621.8	1013.8	1215
"PdomMRNA05828.1"	2176.8	1774.8	1643.25
"PdomMRNA05829.1"	14892.6	8598.8	9633.5
"PdomMRNA05830.1"	375.2	204.4	186
"PdomMRNA05832.1"	2864.6	1628.4	1600.75
"PdomMRNA05832.2"	63.2	63.8	39.25
"PdomMRNA05833.1"	1488.2	601	505
"PdomMRNA05834.1"	44781.8	27282.2	32670.5
"PdomMRNA05835.1"	10551	6602.6	7668.75
"PdomMRNA05836.1"	1216	737.4	841.5
"PdomMRNA05837.1"	2269	1548.4	1598.75
"PdomMRNA05838.1"	2184.2	1666	1607.75
"PdomMRNA05839.1"	498	354.2	378.75
"PdomMRNA05840.1"	239	148.4	131.75
"PdomMRNA05842.1"	1578	1026.8	925.5
"PdomMRNA05844.1"	3652.4	1991.8	2331
"PdomMRNA05845.1"	5669.4	3141.8	3630.75
"PdomMRNA05846.1"	818.4	618	541.5
"PdomMRNA05849.1"	5618.6	3287	3988.5
"PdomMRNA05853.1"	239.4	177.2	166.75
"PdomMRNA05855.1"	3178.6	2471.2	2350
"PdomMRNA05856.1"	44.6	68.8	49.5
"PdomMRNA05857.1"	417.4	243.2	171.25
"PdomMRNA05858.1"	2389	1349.6	1564.75
"PdomMRNA05859.1"	538.4	379.4	336.5
"PdomMRNA05860.1"	2876.4	2139.6	1977.25
"PdomMRNA05861.1"	1698.4	1321.2	1337
"PdomMRNA05862.1"	3558.4	2193.8	1991
"PdomMRNA05863.1"	99.2	11.4	47
"PdomMRNA05864.1"	5573.6	3991	3356
"PdomMRNA05865.1"	4888.6	3359.6	3586.5
"PdomMRNA05866.1"	496.8	422.6	405
"PdomMRNA05867.1"	902.6	375.4	561
"PdomMRNA05868.1"	3155	2205.2	2168.75
"PdomMRNA05869.1"	635.4	399.4	323
"PdomMRNA05870.1"	100.2	132.2	116.25
"PdomMRNA05872.1"	152.6	292.6	274.75
"PdomMRNA05873.1"	255.8	170.4	149.5
"PdomMRNA05875.1"	2320	1860.8	1862.5
"PdomMRNA05876.1"	63	164	58.5
"PdomMRNA05877.1"	109	81.6	85.5
"PdomMRNA05878.1"	729.2	274.6	322
"PdomMRNA05880.1"	433	293.6	354
"PdomMRNA05882.1"	570.4	418.4	488.5
"PdomMRNA05883.1"	20032.6	15659.8	16157.5
"PdomMRNA05884.1"	880.2	712.8	708.5
"PdomMRNA05885.1"	3389.4	2634.4	2710.25
"PdomMRNA05887.1"	1633.4	885	852.25
"PdomMRNA05888.1"	3416.6	2098.2	2007.25
"PdomMRNA05890.1"	163.6	192.2	129.5
"PdomMRNA05891.1"	3371.8	2184.6	2233.5
"PdomMRNA05892.1"	690	550.2	461.5
"PdomMRNA05893.1"	59.4	45.6	63.25
"PdomMRNA05895.1"	11977.8	6873	7518.75
"PdomMRNA05896.1"	1215.8	896.4	759.5
"PdomMRNA05897.1"	145.8	63.8	63.75
"PdomMRNA05899.1"	159.8	88	93
"PdomMRNA05900.1"	322	271.8	270.5
"PdomMRNA05902.1"	3394.4	2254.6	1950
"PdomMRNA05903.1"	476	361.6	588.25
"PdomMRNA05905.1"	1563.4	843	885.75
"PdomMRNA05906.1"	6143.2	4389.4	4430.25
"PdomMRNA05907.1"	32308.6	19714.8	18508.25
"PdomMRNA05908.1"	1676.4	1030.8	1025
"PdomMRNA05910.1"	1732.4	1205.6	1116.5
"PdomMRNA05911.1"	396.4	350.8	279.75
"PdomMRNA05912.1"	1871.2	1073	1171.5
"PdomMRNA05913.1"	9498.6	6112.4	5897.5
"PdomMRNA05914.1"	939.8	546	519
"PdomMRNA05915.1"	1702.8	1253.6	1196
"PdomMRNA05918.1"	135.6	74.8	83
"PdomMRNA05919.1"	374	174	192.5
"PdomMRNA05921.1"	1298.8	867.6	851
"PdomMRNA05922.1"	73.4	423.8	239.75
"PdomMRNA05923.1"	2227.4	1564.6	1522
"PdomMRNA05938.1"	278.6	202	165.5
"PdomMRNA05942.1"	465.6	446	412.5
"PdomMRNA05943.1"	77191.6	44095.2	46165.25
"PdomMRNA05946.1"	123.4	100.4	98.5
"PdomMRNA05948.1"	1972.2	1527.4	1334.75
"PdomMRNA05949.1"	972.8	645.8	624.75
"PdomMRNA05950.1"	1024.6	624	639.75
"PdomMRNA05951.1"	7197.6	5477.2	5233.25
"PdomMRNA05952.1"	195.8	132.2	117.25
"PdomMRNA05953.1"	936.4	616.2	648.25
"PdomMRNA05954.3"	230	170.6	183.25
"PdomMRNA05955.1"	3544.6	2719	2397.75
"PdomMRNA05958.1"	1265.8	691.6	630
"PdomMRNA05959.1"	1666.6	1026.8	1048.25
"PdomMRNA05961.1"	2691.2	1690.6	1612.75
"PdomMRNA05962.1"	2114.8	2272.2	2067.25
"PdomMRNA05963.1"	795.8	786.6	591.75
"PdomMRNA05964.1"	6075.2	4105.2	4226.25
"PdomMRNA05965.1"	1348.6	787.8	1010.25
"PdomMRNA05966.1"	2677	1724.8	1871.5
"PdomMRNA05967.1"	4590	3343.2	2746.75
"PdomMRNA05968.1"	3815.2	2946.6	2948
"PdomMRNA05969.1"	1062.6	572.8	592.5
"PdomMRNA05971.1"	577.8	390.8	439.75
"PdomMRNA05972.1"	253.6	200	168.75
"PdomMRNA05973.1"	1557.2	1091.6	1075.5
"PdomMRNA05974.1"	1034	573.4	560
"PdomMRNA05975.1"	2473.2	1434	1508
"PdomMRNA05976.1"	516.8	296	355
"PdomMRNA05977.1"	1115.4	1006	919.5
"PdomMRNA05978.1"	1421	810	797.25
"PdomMRNA05979.1"	1493.6	1091.6	1120.5
"PdomMRNA05980.1"	1451.4	1245.8	1067.5
"PdomMRNA05981.1"	425.2	379	397
"PdomMRNA05982.1"	1120.8	779.8	766
"PdomMRNA05983.1"	614.6	533.8	477.5
"PdomMRNA05985.1"	3415	2618.4	2347.75
"PdomMRNA05986.1"	2834.6	1953.6	1858.5
"PdomMRNA05987.1"	216	139.8	126.5
"PdomMRNA05988.1"	1447.8	992.8	949.75
"PdomMRNA05989.1"	970	866	730.75
"PdomMRNA05990.1"	785.2	582.2	715.25
"PdomMRNA05991.1"	7204	5178.2	4375.75
"PdomMRNA05992.1"	1389.6	1096.6	1070.75
"PdomMRNA05993.1"	1650	1145	1015.25
"PdomMRNA05994.1"	1342.6	691.8	671.75
"PdomMRNA05996.1"	401.6	302.8	274.25
"PdomMRNA05997.1"	26004.2	12898.8	13856
"PdomMRNA05998.1"	1926.4	1249.6	1311.25
"PdomMRNA05999.1"	1092	669	561.25
"PdomMRNA06000.1"	977	547.4	504.25
"PdomMRNA06001.1"	3113.4	2308.4	2444
"PdomMRNA06002.1"	7005.8	5442	4921.25
"PdomMRNA06003.1"	7169.4	4793.8	4444.25
"PdomMRNA06004.1"	665.8	426.6	472.25
"PdomMRNA06005.1"	410.8	224	221.25
"PdomMRNA06006.1"	914	678.8	585.25
"PdomMRNA06007.1"	713	505.6	485.5
"PdomMRNA06008.1"	781.2	571.8	604
"PdomMRNA06009.2"	603	219	304.5
"PdomMRNA06010.1"	4879	3115.2	3678.25
"PdomMRNA06011.1"	171.6	97.6	114.25
"PdomMRNA06012.1"	1501.6	1161	1055
"PdomMRNA06013.1"	36	39.4	39.5
"PdomMRNA06014.1"	209	127.4	137.5
"PdomMRNA06015.1"	2847.2	1580.8	1500.75
"PdomMRNA06016.1"	6712.4	4096.2	4605.25
"PdomMRNA06017.1"	2461	1782.8	2731.75
"PdomMRNA06018.1"	1804.2	1569.2	1502.75
"PdomMRNA06019.1"	350.4	215.4	218.75
"PdomMRNA06019.2"	144.6	96.2	72.25
"PdomMRNA06020.1"	301.6	211.4	194
"PdomMRNA06021.1"	2627.4	1624.2	1514
"PdomMRNA06022.1"	1931	1145.8	1096.5
"PdomMRNA06023.1"	316.2	224.4	223.25
"PdomMRNA06024.1"	52.4	46.8	40
"PdomMRNA06025.1"	301.8	400.6	257.5
"PdomMRNA06026.1"	1043	717.6	743
"PdomMRNA06027.1"	919.6	791.2	627.75
"PdomMRNA06028.1"	586	329	342.75
"PdomMRNA06030.1"	1401.2	839.8	762
"PdomMRNA06031.1"	761	373	305.5
"PdomMRNA06032.1"	3404	2408.2	2511.5
"PdomMRNA06034.1"	622	363	430.25
"PdomMRNA06035.1"	107	73.2	65.5
"PdomMRNA06037.1"	63	30.2	19.5
"PdomMRNA06039.1"	4882.2	2671.8	2910
"PdomMRNA06040.1"	11153.8	5008.2	7440.5
"PdomMRNA06041.1"	1281	1011.2	1073.25
"PdomMRNA06042.1"	1209.8	826.8	831.25
"PdomMRNA06044.1"	511.2	339.8	331
"PdomMRNA06046.1"	4324	3011.6	3149
"PdomMRNA06047.1"	93.2	146.2	128.5
"PdomMRNA06048.1"	471.2	289.8	280.5
"PdomMRNA06049.1"	1005.8	675.2	796
"PdomMRNA06050.1"	2471	1302	1461.75
"PdomMRNA06051.1"	4209.6	3130.8	3242
"PdomMRNA06052.1"	362.2	325.8	347
"PdomMRNA06053.1"	517.4	349.6	378.75
"PdomMRNA06055.1"	147.4	66.6	78.5
"PdomMRNA06056.1"	49.4	26	29.25
"PdomMRNA06058.1"	1360.2	987.2	858
"PdomMRNA06059.1"	433	468.6	389
"PdomMRNA06060.1"	5165	3511.4	3569
"PdomMRNA06061.1"	1767	954.2	1284.5
"PdomMRNA06062.1"	2320.8	1893.6	2416.25
"PdomMRNA06063.1"	940	578.6	780.25
"PdomMRNA06064.1"	177.6	176.2	127.25
"PdomMRNA06065.1"	10176.2	6985.8	7107.5
"PdomMRNA06066.1"	1584.8	1151.8	1095.75
"PdomMRNA06067.1"	1731.8	963.6	955
"PdomMRNA06068.1"	2394.6	1589.8	1637
"PdomMRNA06069.1"	4963.6	4475.2	3911.75
"PdomMRNA06070.1"	2656	1861.6	1667.75
"PdomMRNA06071.1"	540.2	420.2	303.25
"PdomMRNA06072.1"	4775.2	3421.2	3474
"PdomMRNA06073.1"	140.4	125.2	123.25
"PdomMRNA06074.1"	7900.6	4675.2	4973.25
"PdomMRNA06075.1"	607.4	323	422.75
"PdomMRNA06076.1"	2726	1952.4	1729.25
"PdomMRNA06078.1"	130.2	100.8	142.25
"PdomMRNA06079.1"	395.2	339	300.25
"PdomMRNA06080.1"	1562.2	1193.2	1129.5
"PdomMRNA06081.1"	1201.4	910.6	771.5
"PdomMRNA06082.1"	299.2	237	187.5
"PdomMRNA06083.1"	11634.4	5671.8	6277.75
"PdomMRNA06084.1"	314.6	218.2	224.25
"PdomMRNA06085.1"	1011	697	779.75
"PdomMRNA06086.1"	635.2	511.2	584.25
"PdomMRNA06087.1"	606.8	386.8	428
"PdomMRNA06088.1"	288.6	142.8	138.75
"PdomMRNA06089.1"	285.6	163.6	166
